
state,x,y
Andaman & Nicobar Islands,292.0, -259.0
Andhra Pradesh,-89.0, -187.0
Arunachal Pradesh,320.0, 223.0
Assam,278.0, 143.0
Bihar,83.0, 125.0
Chandigarh,-24.0, -0.0
Goa,-249.0, -181.0
Gujarat,-311.0, 43.0
Haryana,-176.0, 224.0
Himachal Pradesh,-147.0, 313.0
Jammu And Kashmir,-106.0, 345.0
Jharkhand,67.0, 59.0
Karnataka,-203.0, -210.0
Kerala,-199.0, -312.0
Ladakh,-205.0, 345.0
Lakshadweep,-281.0, -321.0
Madhya Pradesh,-134.0, 44.0
Maharashtra,-216.0, -64.0
Manipur,308.0, 107.0
Meghalaya,230.0, 120.0
Mizoram,278.0, 65.0
Nagaland,329.0, 150.0
Delhi,-150.0, 210.0
Odisha,48.0, -27.0
Punjab,-198.0, 278.0
Rajasthan,-249.0, 161.0
Sikkim,154.0, 186.0
Tamil Nadu,-117.0, -304.0
Telangana,-110.0, -107.0
Tripura,248.0, 75.0
Uttar Pradesh,-64.0, 170.0
Uttarakhand,-98.0, 260.0
West Bengal,138.0, 51.0

Blank_indian_map.gif
